dT	T (0)	dT (0)	Base Mean (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)	T (8)	dT (8)	Base Mean (8)	Body Mean (8)	Proj Mean (8)	Tip Mean (8)	Tip Th Mean (8)	Length (8)	dL (8)	DCTM (8)	DCBM (8)	T (9)	dT (9)	Base Mean (9)	Body Mean (9)	Proj Mean (9)	Tip Mean (9)	Tip Th Mean (9)	Length (9)	dL (9)	DCTM (9)	DCBM (9)	T (10)	dT (10)	Base Mean (10)	Body Mean (10)	Proj Mean (10)	Tip Mean (10)	Tip Th Mean (10)	Length (10)	dL (10)	DCTM (10)	DCBM (10)	T (11)	dT (11)	Base Mean (11)	Body Mean (11)	Proj Mean (11)	Tip Mean (11)	Tip Th Mean (11)	Length (11)	dL (11)	DCTM (11)	DCBM (11)	T (12)	dT (12)	Base Mean (12)	Body Mean (12)	Proj Mean (12)	Tip Mean (12)	Tip Th Mean (12)	Length (12)	dL (12)	DCTM (12)	DCBM (12)	T (13)	dT (13)	Base Mean (13)	Body Mean (13)	Proj Mean (13)	Tip Mean (13)	Tip Th Mean (13)	Length (13)	dL (13)	DCTM (13)	DCBM (13)	T (14)	dT (14)	Base Mean (14)	Body Mean (14)	Proj Mean (14)	Tip Mean (14)	Tip Th Mean (14)	Length (14)	dL (14)	DCTM (14)	DCBM (14)	T (15)	dT (15)	Base Mean (15)	Body Mean (15)	Proj Mean (15)	Tip Mean (15)	Tip Th Mean (15)	Length (15)	dL (15)	DCTM (15)	DCBM (15)
-20.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.000	-20.000	330.528	748.037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.000	-20.000	401.000	747.107	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	-20.000	420.359	748.268	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.000	-20.000	461.269	742.462	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.000	-20.000	362.167	733.956	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-19.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.000	-19.000	315.957	748.039	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.000	-19.000	403.615	749.454	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	-19.000	389.083	744.906	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.000	-19.000	438.846	739.694	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.000	-19.000	355.421	729.907	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-18.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.000	-18.000	297.552	747.342	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.000	-18.000	399.625	747.876	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.000	-18.000	470.000	746.294	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40.000	-18.000	456.654	739.473	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.000	-18.000	276.615	726.737	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-17.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000	-17.000	433.529	767.951	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.000	-17.000	300.923	747.761	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.000	-17.000	414.885	748.419	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	-17.000	522.969	741.783	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.000	-17.000	465.609	739.917	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66.000	-17.000	300.286	730.528	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-16.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.000	-16.000	447.524	744.415	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.000	-16.000	285.949	747.107	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	-16.000	335.000	748.268	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	-16.000	536.500	747.764	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42.000	-16.000	467.480	738.922	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.000	-16.000	297.308	733.061	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-15.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.000	-15.000	441.429	741.381	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.000	-15.000	338.222	749.454	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	-15.000	407.250	744.906	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35.000	-15.000	558.441	744.300	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43.000	-15.000	468.192	739.164	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68.000	-15.000	274.179	731.442	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-14.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.000	-14.000	448.080	738.152	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.000	-14.000	353.061	747.876	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.000	-14.000	377.600	746.294	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36.000	-14.000	543.750	743.062	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44.000	-14.000	477.160	734.876	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69.000	-14.000	286.107	734.421	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-13.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.000	-13.000	414.053	737.202	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.000	-13.000	316.143	748.419	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	-13.000	396.536	741.783	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.000	-13.000	571.457	743.829	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45.000	-13.000	463.042	735.050	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.000	-13.000	412.310	738.030	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-12.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.000	-12.000	436.640	744.525	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	-12.000	334.907	748.268	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	-12.000	387.640	747.764	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.000	-12.000	532.471	742.462	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.000	-12.000	443.905	735.387	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.000	-12.000	430.808	737.218	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-11.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.000	-11.000	429.909	737.766	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	-11.000	376.278	744.906	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35.000	-11.000	387.130	744.300	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.000	-11.000	536.528	739.694	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.000	-11.000	444.714	737.735	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.000	-11.000	375.759	738.623	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-10.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	-10.000	437.333	742.972	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.000	-10.000	329.838	746.294	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36.000	-10.000	389.435	743.062	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40.000	-10.000	461.812	739.473	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	-10.000	482.640	739.771	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73.000	-10.000	376.667	737.263	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-9.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000	-9.000	451.143	767.951	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	-9.000	440.000	741.253	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	-9.000	292.086	741.783	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.000	-9.000	409.741	743.829	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.000	-9.000	487.588	739.917	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	-9.000	455.739	740.329	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	-9.000	331.310	735.735	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-8.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.000	-8.000	439.571	744.415	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	-8.000	298.303	740.138	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	-8.000	314.000	747.764	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.000	-8.000	408.857	742.462	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42.000	-8.000	447.606	738.922	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000	-8.000	431.227	738.739	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	-8.000	391.621	736.043	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-7.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000	-7.000	456.194	767.951	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.000	-7.000	434.364	741.381	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	-7.000	489.750	744.036	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35.000	-7.000	315.791	744.300	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.000	-7.000	407.600	739.694	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43.000	-7.000	436.467	739.164	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51.000	-7.000	424.421	734.362	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76.000	-7.000	358.565	735.371	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-6.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.000	-6.000	488.455	744.415	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.000	-6.000	430.762	738.152	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	-6.000	448.304	744.994	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36.000	-6.000	309.302	743.062	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40.000	-6.000	364.029	739.473	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44.000	-6.000	439.500	734.876	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.000	-6.000	434.520	735.170	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77.000	-6.000	322.167	734.080	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-5.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.000	-5.000	513.710	741.381	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.000	-5.000	428.091	737.202	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	-5.000	390.700	743.250	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.000	-5.000	326.444	743.829	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.000	-5.000	360.590	739.917	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45.000	-5.000	427.429	735.050	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.000	-5.000	448.958	735.019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	78.000	-5.000	293.440	727.432	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-4.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.000	-4.000	407.545	738.152	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.000	-4.000	434.600	744.525	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	-4.000	459.840	740.808	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.000	-4.000	316.357	742.462	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42.000	-4.000	381.645	738.922	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.000	-4.000	422.818	735.387	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.000	-4.000	445.462	736.315	NaN	NaN	NaN	NaN	NaN	NaN	NaN	79.000	-4.000	320.474	730.585	NaN	NaN	NaN	NaN	NaN	NaN	NaN
